Judul_Film,Tahun,Genre
Kartolo Numpak Terang Bulan,2024,Komedi
24 Jam Bersama Gaspar,2023,Distopia
Titip Surat untuk Tuhan,2024,Drama
Kuyang: Sekutu Iblis yang Selalu Mengintai,2024,Horor
Perjalanan Pembuktian Cinta,2024,Drama
Siri Na Pacce,2024,Drama
Mendung Tanpo Udan,2024,Drama
Pasar Setan,2024,Mendebarkan atau Menegangkan
Bonnie,2024,Laga
Pemandi Jenazah,2024,Horor
Melodate,2024,Percintaan
Dealova,2024,Remaja
Women From Rote Island,2023,Drama
Sinden Gaib,2024,Horor
Asmara di Sekolah,2024,Remaja
Ritual: Tumbal Terakhir,2024,Mendebarkan atau Menegangkan
Ali Topan,2024,Drama
Indonesia dari Timur,2024,Olah raga
Lampir,2024,Horor
La Galigo,2024,Drama
Pasutri Gaje,2024,Drama
Munkar,2024,Horor
Eksil,2024,
Agak Laen,2024,Horor
Kereta Berdarah,2024,Horor
Melukis Luka,2024,Drama
Pemukiman Setan,2024,Horor
#OOTD: Outfit of The Designer,2024,Drama
Setengah Hati,2024,Drama
Bu Tejo Sowan Jakarta,2024,Drama
Petualangan Anak Penangkap Hantu,2024,Horor
Rambut Kafan,2024,Horor
Pulang Tak Harus Rumah,2024,Drama
Sehidup Semati,2024,Mendebarkan atau Menegangkan
Ancika: Dia yang Bersamaku 1995,2024,Drama
Clekontong Mas the Movie : Nyi Rimbit,2024,Horor
Mosonggi,2024,Drama
Trinil: Kembalikan Tubuhku,2024,Horor
Suami yang Lain,2024,Drama
Diwe: Hutan Larangan,2024,Horor
Koridor,2023,Drama
13 Bom di Jakarta,2023,Laga
Hamka & Siti Raham vol 2,2023,Biografi
Layangan Putus the Movie,2023,Drama
Bardion: Director's Cut,2023,Fiksi ilmiah
Siksa Neraka,2023,Fantasi
Kapan Hamil?,2023,Percintaan
Malam Para Jahanam,2023,Horor
Rumah Masa Depan,2023,Drama
Jatuh Cinta Seperti di Film-film,2023,Drama
Panggonan Wingit,2023,Horor
Srimulat: Hidup Memang Komedi,2023,Biografi
Rumah Iblis,2023,Horor
172 Days,2023,Drama
Gampang Cuan,2023,Drama
Perjamuan Iblis,2023,Horor
Sijjin,2023,Horor
Aku Rindu,2023,Drama
Budi Pekerti,2023,Drama
Nona Manis Sayange,2023,Drama
Kultus Iblis,2023,Horor
Wakaf,2023,Horor
Saranjana: Kota Ghaib,2023,Horor
Mohon Doa Restu,2023,Drama
One Big Sumba Family,2023,
Imam Tanpa Makmum,2023,Drama
Indigo,2023,Horor
Janin Iblis Neraka,2023,Horor
Pamali: Dusun Pocong,2023,Horor
Teori Cakrawala,2023,Drama
Bangku Kosong: Ujian Terakhir,2023,Horor
Bangsatnya Cinta Pertama,2023,Drama
Di Ambang Kematian,2023,Horor
Petualangan Sherina 2,2023,Musikal atau Tari
Mayflies,2023,Drama
Kisah Tanah Jawa: Pocong Gundul,2023,Horor
Satu Hari dengan Ibu,2023,Keluarga
Invalidite,2023,Drama
Aku Tahu Kapan Kamu Mati: Desa Bunuh Diri,2023,Horor
Jomblo Fi Sabilillah,2023,Drama
Orpa,2023,Drama
Air Mata di Ujung Sajadah,2023,Drama
Sleep Call,2023,Mendebarkan atau Menegangkan
Susuk: Kutukan Kecantikan,2023,Horor
Puspa Indah Taman Hati,2023,Remaja
Mappacci - Malam Pacar,2023,Drama
Galaksi,2023,Drama
Siska The Movie,2023,Drama
"Yang Patah Tumbuh, Yang Hilang Berganti",2023,Drama
After Life,2023,Drama
Catatan Si Boy,2023,Drama
Lantai 4,2023,Horor
Primbon,2023,Horor
Dear Jo: Almost Is Never Enough,2023,Drama
Suzzanna: Malam Jumat Kliwon,2023,Horor
Dunia Tanpa Suara,2023,Drama
Hari Ini Akan Kita Ceritakan Nanti,2023,Drama
Ketika Berhenti di Sini,2023,Drama
Mantra Surugana,2023,Horor
Kutukan Peti Mati,2023,Horor
Jendela Seribu Sungai,2023,Anak-anak atau keluarga
Kejar Mimpi Gaspol!,2023,Drama
Tari Kematian,2023,Horor
Why Do You Love Me,2023,Drama
Ganjil Genap,2023,Drama
200 Pounds Beauty,2023,Musikal atau Tari
Onde Mande!,2023,Drama
Sosok Ketiga,2023,Horor
Kutukan Sembilan Setan,2023,Horor
Star Syndrome,2023,Drama
Spirit Doll,2023,Horor
Detektif Jaga Jarak,2023,Drama
Mbutik,2023,Drama
Jin Khodam,2023,Horor
Hati Suhita,2023,Drama
Kajiman: Iblis Terkejam Penagih Janji,2023,Horor
Bukannya Aku Tidak Mau Nikah,2023,
Hello Ghost,2023,Drama
Angel: Kami Semua Punya Mimpi,2023,Drama
Dedemit: Diikuti Makhluk Halus,2023,Horor
Hitmen,2023,Drama
Buya Hamka,2023,Drama
Khanzab,2023,Horor
Jin & Jun,2023,Horor
Sewu Dino,2023,Horor
Kutukan Cakar Monyet,2023,Horor
Pelet Tali Pocong,2023,Horor
Kartu Pos Wini,2023,Drama
Surga di Bawah Langit,2023,
Teman Tidur,2023,Horor
Tulah 6/13,2023,Horor
Jin Qorin,2023,Horor
Hantu Baru,2023,Horor
Losmen Melati,2023,Horor
Iblis dalam Darah,2023,Horor
Sukmailang,2023,Horor
"Glo, Kau Cahaya",2023,Drama
Kun Ana Wa Anta,2023,Anak-anak
Perjanjian Gaib,2023,
Zodiac: Apa Bintangmu?,2023,
Kembang Api,2023,Drama
Virgo and The Sparklings,2023,
Panduan Mempersiapkan Perpisahan,2023,Drama
